created_file_name,passage_name,WZATB_passage,levenshtein_distance
0392_0001_RZTXV05P1662E_WAIYA.txt,V05P1662E_WAIYA,TKXV01P268A_BEG_WSACD حدثنا أحمد بن محمد قال حدثنا @TR1_SACD@ إبراهيم بن سعد عن SEE_HSNXV01P649A اسحاق قال سهيل بن عمرو أبو يزيد أعلم من شفته السفلى,118
0861_0002_THSHV04P134A_WAIYA.txt,V04P134A_WAIYA,YMXV04P2176A_BEG_WSACD VAR_ZTKXV01P401A VAR_NYMXV03P1301A VAR_THRXV04P081A قال كنت في الوفد الذين قدموا على رسول الله صلى الله عليه وسلم فضرب لنا قبة عند دار المغيرة فكان بلال يأتينا بفطرنا في رمضان ونحن مسفرون جدا رواه @TR1_SACD@ إبراهيم بن سعد عن محمد بن PageV04P2176 اسحاق عن عيسى بن عبد الله بن مالك عن عطية بن سفيان بن عبد الله بن ربيعة الثقفي عن بعض وفدهم,362
0384_0003_SFMXV01P506C_WAIYA.txt,V01P506C_WAIYA,TKXV01P171A_BEG_WSACD VAR_TKXXV04P009B حدثنا @TR2_AMIB@ أحمد بن محمد قال حدثنا @TR1_SACD@ إبراهيم عن ابن اسحاق قال فقال رسول الله صلى الله عليه وسلم للعباس بن عبد المطلب حين انتهي به إلى المدينة يا عباس أفد نفسك وابني أخيك عقيلا بن أبي طالب ونوفل بن الحارث وحليفك عتبة بن عمرو فإنك ذو مال فقال يا رسول الله إني كنت مسلما ولكن القوم استكرهوني قال الله أعلم بإسلامك إن يك ما ذكرت حقا فالله يجزيك به وأما ظاهرأمرك فقد كنت علينا فافد نفسك ففدى العباس نفسه وابني أخيه وحليفه. @ZTKXV01P171A_END_WSACD PageV01P171 # @COMMENT: This passage is found in the redaction of Ibn Hishām. Similar passage found in WHAYA,409
0223_0004_MQZMV01P397C_WAIYA.txt,V01P397C_WAIYA,TTHV01P376A_BEG_WSACD حدثنا @TR2_AMIB@ أحمد بن محمد بن أيوب قال حدثنا @TR1_SACD@ إبراهيم بن سعد عن ابن إسحاق قال عبد الله بن سلام بن الحارث كان اسمه الحصين فلما أسلم سماه رسول الله عليه السلام عبد الله. @ZTTHV01P376A_END_WSACD PageV01P376 # @COMMENT: A similar passage is found in WZATB on HSNXV01P515C in the section detailing the Rabbis who opposed the prophet. @EC_01/25/23@,260
1612_0005_SFMXV01P507A_WAIYA.txt,V01P507A_WAIYA,TBXV25P142A_BEG_WSACD VAR_HJSMV02P595A VAR_THRXV07P392A حدثنا أحمد بن الخطاب التستري ثنا عبيد الله بن سعد الزهري وحدثنا عبد الله بن أبي بكر بن محمد بن عمرو بن حزم الأنصاري عن ابن سعد ثنا @TR2_YISI@ عمي ثنا @TR1_SACD@ أبي عن محمد بن إسحاق ح يحيى بن عبد الرحمن بن أسعد بن زرارة عن أم هشام بنت حارثة بن النعمان قالت لقد كان تنورنا وتنور رسول الله صلى الله عليه وسلم واحدا سنتين أو سنة وبعض سنة وما أخذت ق والقرآن المجيد إلا عن رسول الله صلى الله عليه وسلم كان يقرؤها كل جمعة إذا خطب الناس @STBXV25P142A_END_WSACD PageV25P142,404
0382_0006_KHLSV02P119A_WAIYA.txt,V02P119A_WAIYA,TKXV01P168A_BEG_WSACD VAR_TKXXV04P009A حدثنا @TR2_AMIB@ أحمد بن محمد بن أيوب قال حدثنا @TR1_SACD@ إبراهيم بن سعد عن محمد بن اسحاق عن العباس بن عبد الله بن معبد عن بعض أهله عن ابن عباس قال لما أمسى القوم يوم بدر والأسارى محبوسون في الوثاق بات رسول الله صلى الله عليه وسلم ساهرا أول طيلة قال له أصحابه يا رسول الله ما لك لا تنام قال سمعت عن أنين العباس في وثاقه فقاموا إلى العباس فأطلقوه,288
0752_0007_RHWXV05P102A_WAIYA.txt,V05P102A_WAIYA,"NHXV10P107A_BEG_WSACD VAR_ZTKXV02P803C VAR_NYMXV06P3310A VAR_BRSXV04P1831C VAR_THRXV074P092A VAR_KTHQV08P035B VAR_HYZXV01P324A HJRTV16P934A VAR_HJIIV08P514A أخبرنا أبو يعلى قال حدثنا أبو خيثمة قال حدثنا @TR2_YISI@ يعقوب بن إبراهيم قال حدثنا أبي عن بن اسحاق قال حدثني معمر بن عبد الله بن حنظلة عن يوسف بن عبد الله بن سلام عن خويلة بنت ثعلبة قالت في والله وفي أوس بن الصامت أنزل الله جل وعلا صدر سورة المجادلة قالت كنت عنده وكان شيخا كبيرا قد ساء خلقه وضجر قالت فدخل علي يوما فراجعته في شيء فغضب وقال أنت علي كظهر أمي ثم خرج فجلس في نادي قومه ساعة ثم دخل علي فإذا هو يريدني على نفسي قالت قلت كلا والذي نفس خويلة بيده لا تخلص إلي وقد قلت ما قلت حتى يحكم الله ورسوله فينا بحكمه قالت فواثبني فامتنعت منه فغلبته بما تغلب به المرأة الشيخ الضعيف فألقيته تحتي ثم خرجت PageV10P107 إلى بعض جاراتي فاستعرت منها ثيابا ثم خرجت حتى جئت رسول الله صلى الله عليه وسلم فجلست بين يديه فذكرت له ما لقيت منه فجعلت أشكو إليه ما ألقى من سوء خلقه قالت فجعل رسول الله صلى الله عليه وسلم يقول يا خويلة ابن عمك شيخ كبير فاتقي الله فيه قالت فوالله ما برحت حتى نزل القرآن فتغشى رسول الله صلى الله عليه وسلم ما كان يغشاه ثم سري عنه فقال يا خويلة قد أنزل الله جل وعلا فيك وفي صاحبك قالت ثم قرأ علي @QURS58A001_BEG قد سمع الله قول التي تجادلك في زوجها وتشتكي إلى الله @QURS58A001_END إ لى قوله @QURS58A004_BEG وللكافرين عذاب أليم @QURS58A004_END فقال رسول الله صلى الله عليه وسلم مريه فليعتق رقبة قالت وقلت: يا رسول الله ما عنده ما يعتق قال فليصم شهرين متتابعين قالت فقلت والله يا رسول الله إنه شيخ كبير ما به من صيام قال فليطعم ستين مسكينا وسقا من تمر فقلت والله يا رسول الله ما ذلك عنده قالت فقال رسول الله صلى الله عليه وسلم فإنا سنعينه بعرق من تمر قالت فقلت وأنا يا رسول الله سأعينه بعرق آخر فقال أصبت وأحسنت فاذهبي فتصدقي به عنه ثم استوصي بابن عمك خيرا قالت ففعلت. @BNHXV10P107A_END_WSACD PageV10P108 # @COMMENT: These passages are not found in the redaction of Ibn Hishām. Aws b. al-Ṣāmit is only mentioned once in HSNXV01P693F in reference to his participation at Badr along with other members of the *Anṣār*. Similar passages are found under the witnesses of WJHZA, WZAZA, WMMAH, WHAYA, WJHUN, WMSAH, and WAIYA. According to IAAHV05P272A Qurʾān 58 is a Madīnan *sūrah* except for verse seven, which originates in the Meccan period and he goes on to say that the event occurred during the month of *Ramaḍān*, but does not specify a year. The passage describes Aws b. al-Ṣāmit as being in old age and somewhat enfeebled, since he is said to have participated in all of Muḥammad's expeditions it must occur late, likely after the conquest of Mecca. According to AMHIV02P215A, the event occured after Muḥammad returned from the conquest of Mecca. If it occured in *Ramaḍān* it must have occured prior to the Battle of Ḥunayn which took place in *Shawwāl* in the year 8. This would place it in relation to the redaction of Ibn Hishām after HSNXV02P428D since Ibn Isḥāq states on HSNXV02P437C that the conquest of Mecca occured on the 20th of *Ramaḍān*. Updated 12/04/23",1206
0953_0008_DWNXV02P266A_WAIYA.txt,V02P266A_WAIYA,YMXV01P174A_BEG_WSACD VAR_MYWXV02P497A VAR_BNHXV03P167A VAR_STKXV01P389A VAR_BQJXV01P381A VAR_HYZXV01P177B VAR_HYKUV04P056B VAR_AAIBV06P470A VAR_HJMAV04P307A حدثنا زهير حدثنا @TR2_YISI@ يعقوب بن إبراهيم حدثنا @TR1_SACD@ أبي عن ابن اسحاق حدثني عيسى بن عبد الله بن مالك عن محمد بن عمر بن عطاء عن عطاء بن يسار عن أبي سعيد الخدري قال سمعت رسول الله صلى الله عليه وسلم يقول إذا أراد أحدكم أمرا فليقل اللهم إني أستخيرك بعلمك وأستقدرك بقدرتك وأسألك من فضلك فإنك تقدر ولا أقدر وتعلم ولا أعلم وأنت علام الغيوب اللهم إن كان كذا وكذا من الأمر يريد لي خيرا في ديني ومعيشتي وعاقبة أمري وإلا فاصرفه عني واصرفني عنه ثم قدر لي الخير أينما كان ولا حول ولا قوة إلا بالله,555
0892_0009_KHMSV03P252A_WAIYA.txt,V03P252A_WAIYA,THQV08P121A_BEG_WSACD VAR_HBHXV18P292A VAR_HBHXV38P547A VAR_RWJFV01P063A VAR_KHZXV03P138A VAR_BQQXV01P123A VAR_TMTTV01P515A VAR_KTHRV09P063A VAR_HYGHV01P277A VAR_HJIIV06P336A وقال الإمام أحمد حدثنا @TR2_YISI@ يعقوب حدثنا @TR1_SACD@ أبي عن محمد بن اسحاق حدثني محمد بن إبراهيم التيمي عن عمران بن أبي يحيى عن عبد الله بن كعب بن مالك عن أبي أيوب الأنصاري سمعت رسول الله صلى الله عليه وسلم يقول من اغتسل يوم الجمعة ومس من طيب أهله إن كان عندهولبس من أحسن ثيابه ثم خرج حتى يأتي المسجد فيركع إن بدا له ولم يؤذ أحدا ثم أنصت إذا خرج إمامه حتى يصلي كانت كفارة لما بينها وبين الجمعة الأخرى. @KTHQV08P121A_END_WSACD PageV08P121 # @COMMENT: KTHQV08P121A is part of the commentary on Qurʾān 62:9-11,533
0446_0010_KHMSV03P252B_WAIYA.txt,V03P252B_WAIYA,JIIV03P557A_BEG_WSACD VAR_HBHXV10P284A VAR_DRQSV04P330A VAR_BQSXV07P183A VAR_BQSXV07P195A VAR_BQMXV10P053A VAR_KHTSV08P521B VAR_MATTV04P316A VAR_HYGHV02P245A توفي عثمان بن مظعون وترك ابنة له من خويلة بنت حكيم بن أمية بن حارثة بن الأوقص قال وأوصى إلى أخيه قدامة بن مظعون قال عبد الله وهما خالاي فمضيت إلى قدامة بن مظعون أخطب ابنة عثمان بن مظعون فزوجنيها ودخل PageV03P557 المغيرة الحديث وفيه هي يتيمة ولا تنكح إلا بإذنها حدثنا @TR2_YISI@ يعقوب ثنا @TR1_SACD@ أبي عن ابن اسحاق حدثني عمر به,377
