created_file_name,passage_name,WZATB_passage,levenshtein_distance
0849_0001_RZTXV05P1662E_WAIYA.txt,V05P1662E_WAIYA,SNXV01P698E_BEG_WZATB قال ابن إسحاق والضحاك بن حارثة بن زيد بن ثعلبة بن عبيد بن عدي وسواد بن زريق بن ثعلبة بن عبيد بن عدي,116
0381_0002_THSHV04P134A_WAIYA.txt,V04P134A_WAIYA,SNXV01P394E_BEG_WZATB قال ابن إسحاق حدثني جعفر بن عمرو. PageV01P394 ابن أمية الضمري عن عبد الله بن مسلم أخي محمد بن مسلم بن شهاب الزهري عن أنس بن مالك قال سمعت رسول الله صلى الله عليه وسلم وقيل له يا رسول الله ما الكوثر الذي أعطاك الله قال نهر كما بين صنعاء إلى أيلة آنيته كعدد نجوم السماء ترده طيور لها أعناق كأعناق الإبل قال يقول عمر بن الخطاب إنها يا رسول الله لناعمة قال آكلها أنعم منها,344
0632_0003_SFMXV01P506C_WAIYA.txt,V01P506C_WAIYA,SNXV01P588B_BEG_WZATB قال ابن إسحاق وحدثني الزهري عن عروة بن الزبير عن أسامة قال وقام رسول الله صلى الله عليه وسلم فدخل على سعد بن عبادة وفي وجهه ما قال عدو الله ابن أبي فقال والله يا رسول الله إني لأرى في وجهك شيئا لكأنك سمعت شيئا تكرهه قال أجل ثم أخبره بما قال ابن أبي فقال سعد يا رسول الله ارفق به فو الله لقد جاءنا الله بك وإنا لننظم له الخرز لنتوجه فو الله إنه ليرى أن قد سلبته ملكا,484
0206_0004_MQZMV01P397C_WAIYA.txt,V01P397C_WAIYA,SNXV01P208A_BEG_WZATB قال ابن إسحاق وحدثني عمرو بن أبي جعفر عن محمد بن عبد الرحمن بن أبي لبيبة عن علي بن الحسين بن علي رضي الله عنه بمثل حديث ابن شهاب عنه,328
0958_0005_SFMXV01P507A_WAIYA.txt,V01P507A_WAIYA,SNXV02P048C_BEG_WZATB قال ابن إسحاق وحدثني عاصم بن عمر بن قتادة قال فحاصرهم رسول الله صلى الله عليه وسلم حتى نزلوا على حكمه فقام إليه عبد الله بن أبي بن سلول حين أمكنه الله منهم فقال يا محمد أحسن في موالي وكانوا حلفاء الخزرج قال فأبطأ عليه رسول الله صلى الله عليه وسلم فقال يا محمد أحسن في موالي قال فأعرض عنه فأدخل يده في جيب درع رسول الله صلى الله عليه وسلم,397
1211_0006_KHLSV02P119A_WAIYA.txt,V02P119A_WAIYA,SNXV02P251C_BEG_WZATB قال ابن إسحاق وحدثني معاذ بن رفاعة عن محمود بن عبد الرحمن بن عمرو ابن الجموح عن جابر بن عبد الله قال لما دفن سعد ونحن مع رسول الله صلى الله عليه وسلم سبح رسول الله صلى الله عليه وسلم فسبح الناس معه ثم كبر PageV02P251 فكبر الناس معه فقالوا يا رسول الله مم سبحت قال لقد تضايق على هذا العبد الصالح قبره حتى فرجه الله عنه,288
1640_0007_RHWXV05P102A_WAIYA.txt,V05P102A_WAIYA,SNXV02P655C_BEG_WZATB قال ابن إسحاق قال الزهري وحدثني سعيد بن المسيب عن أبي هريرة قال لما توفي رسول الله صلى الله عليه وسلم قام عمر بن الخطاب فقال إن رجالا من المنافقين يزعمون أن رسول الله صلى الله عليه وسلم قد توفي وإن رسول الله صلى الله عليه وسلم ما مات ولكنه ذهب إلى ربه كما ذهب موسى بن عمران فقد غاب عن قومه أربعين ليلة ثم رجع إليهم بعد أن قيل قد مات وو الله ليرجعن رسول الله صلى الله عليه وسلم كما رجع موسى فليقطعن أيدي رجال وأرجلهم زعموا أن رسول الله صلى الله عليه وسلم مات قال وأقبل أبو بكر حتى نزل على باب المسجد حين بلغه الخبر وعمر يكلم الناس فلم يلتفت إلى شيء حتى دخل على رسول الله صلى الله عليه وسلم في بيت عائشة ورسول الله صلى الله عليه وسلم مسجى في ناحية البيت عليه برد حبرة فأقبل حتى كشف عن وجه رسول الله صلى الله عليه وسلم قال ثم أقبل PageV02P655 عليه فقبله ثم قال بأبي أنت وأمي أما الموتة التي كتب الله عليك فقد ذقتها ثم لن تصيبك بعدها موتة أبدا قال ثم رد البرد على وجه رسول الله صلى الله عليه وسلم ثم خرج وعمر يكلم الناس فقال على رسلك يا عمر أنصت فأبى إلا أن يتكلم فلما رآه أبو بكر لا ينصت أقبل على الناس فلما سمع الناس كلامه أقبلوا عليه وتركوا عمر فحمد الله وأثنى عليه ثم قال أيها الناس إنه من كان يعبد محمدا فإن محمدا قد مات ومن كان يعبد الله فإن الله حي لا يموت قال ثم تلا هذه الآية @QURS003A144_BEG وما محمد إلا رسول قد خلت من قبله الرسل أفإن مات أو قتل انقلبتم على أعقابكم ومن ينقلب على عقبيه فلن يضر الله شيئا وسيجزي الله الشاكرين @QURS003A144_END قال فو الله لكأن الناس لم يعلموا أن هذه الآية نزلت حتى تلاها أبو بكر يومئذ قال وأخذها الناس عن أبي بكر فإنما هي في أفواههم قال فقال أبو هريرة قال عمر والله ما هو إلا أن سمعت أبا بكر تلاها فعقرت حتى وقعت إلى الأرض ما تحملني رجلاي وعرفت أن رسول الله صلى الله عليه وسلم قد مات,1594
1581_0008_DWNXV02P266A_WAIYA.txt,V02P266A_WAIYA,SNXV02P603B_BEG_WZATB قال ابن إسحاق وحدثني يحيى بن عبد الله بن عبد الرحمن بن أبي عمرة عن يزيد بن طلحة بن يزيد بن ركانة قال لما أقبل علي رضي الله عنه من اليمن ليلقى رسول الله صلى الله عليه وسلم بمكة تعجل إلى رسول الله صلى الله عليه وسلم واستخلف على جنده الذين معه رجلا من أصحابه فعمد ذلك الرجل فكسا كل رجل من القوم حلة من البز الذي كان مع علي رضي الله عنه فلما دنا جيشه خرج ليلقاهم فإذا عليهم الحلل قال ويلك ما هذا قال كسوت القوم ليتجملوا به إذا قدموا في الناس قال ويلك انزع قبل أن تنتهي به إلى رسول الله صلى الله عليه وسلم قال فانتزع الحلل من الناس فردها في البز قال وأظهر الجيش شكواه لما صنع بهم,594
1201_0009_KHMSV03P252A_WAIYA.txt,V03P252A_WAIYA,SNXV02P244D_BEG_WZATB قال ابن إسحاق وحدثني أيوب بن عبد الرحمن بن عبد الله بن أبي صعصعة أخو بني عدي بن النجار أن سلمى بنت قيس أم المنذر أخت سليط بن أخت سليط بن قيس وكانت إحدى خالات رسول الله صلى الله عليه وسلم قد صلت معه القبلتين وبايعته بيعة النساء سألته رفاعة بن سموأل القرظي وكان رجلا قد بلغ فلاذ بها وكان يعرفهم قبل ذلك فقالت يا نبي الله بأبي أنت وأمي هب لي رفاعة فإنه قد زعم أنه سيصلي ويأكل لحم الجمل قال فوهبه لها فاستحيته,607
1211_0010_KHMSV03P252B_WAIYA.txt,V03P252B_WAIYA,SNXV02P251C_BEG_WZATB قال ابن إسحاق وحدثني معاذ بن رفاعة عن محمود بن عبد الرحمن بن عمرو ابن الجموح عن جابر بن عبد الله قال لما دفن سعد ونحن مع رسول الله صلى الله عليه وسلم سبح رسول الله صلى الله عليه وسلم فسبح الناس معه ثم كبر PageV02P251 فكبر الناس معه فقالوا يا رسول الله مم سبحت قال لقد تضايق على هذا العبد الصالح قبره حتى فرجه الله عنه,421
0801_0011_BQSXV07P642A_WAIYA.txt,V07P642A_WAIYA,SNXV01P684E_BEG_WZATB قال ابن إسحاق وعامر بن البكير بن عبد ياليل بن ناشب بن غيرة من بني سعد بن ليث وعاقل بن البكير وخالد بن البكير وإياس بن البكير حلفاء بني عدي بن كعب وسعيد بن زيد بن عمرو بن نفيل بن عبد العزى ابن عبد الله بن قرط بن رياح بن رزاح بن عدي بن كعب قدم من الشأم بعد ما قدم رسول الله صلى الله عليه وسلم من بدر فكلمه فضرب له رسول الله صلى الله عليه وسلم بسهمه قال وأجري يا رسول الله قال وأجرك أربعة عشر رجلا ومن بني جمح بن عمرو بن هصيص بن كعب عثمان بن مظعون بن حبيب ابن وهب بن حذافة بن جمح وابنه السائب بن عثمان وأخواه قدامة بن مظعون وعبد الله بن مظعون ومعمر بن الحارث بن معمر بن حبيب ابن وهب بن حذافة بن جمح خمسة نفر ومن بني سهم بن عمرو بن هصيص بن كعب بن خنيس بن حذافة بن قيس ابن عدي بن سعد بن سهم رجل,649
